year,month,day,team,yards_per_point
2021,11,7,Arizona,15.9
2021,11,7,Tampa Bay,15.6
2021,11,7,Cincinnati,10.3
2021,11,7,LA Rams,12.3
2021,11,7,Tennessee,10.0
2021,11,7,Indianapolis,11.8
2021,11,7,Philadelphia,8.0
2021,11,7,New England,13.0
2021,11,7,Seattle,7.4
2021,11,7,Green Bay,14.0
2021,11,7,Dallas,21.0
2021,11,7,Las Vegas,13.4
2021,11,7,LA Chargers,15.4
2021,11,7,San Francisco,14.2
2021,11,7,Baltimore,23.1
2021,11,7,Atlanta,16.4
2021,11,7,Kansas City,18.4
2021,11,7,Carolina,17.5
2021,11,7,Cleveland,30.6
2021,11,7,Minnesota,17.4
2021,11,7,Chicago,14.7
2021,11,7,Denver,16.1
2021,11,7,Miami,23.8
2021,11,7,Pittsburgh,24.7
2021,11,7,NY Giants,17.6
2021,11,7,Washington,34.2
2021,11,7,NY Jets,16.2
2021,11,7,Houston,14.7
2021,11,7,Detroit,38.0
2021,11,7,Jacksonville,44.1
2021,10,31,Buffalo,13.5
2021,10,31,New Orleans,23.4
2021,10,31,Tampa Bay,10.7
2021,10,31,Arizona,15.9
2021,10,31,LA Rams,13.4
2021,10,31,Dallas,16.2
2021,10,31,Cincinnati,12.7
2021,10,31,Tennessee,13.7
2021,10,31,New England,10.2
2021,10,31,Green Bay,14.0
2021,10,31,Indianapolis,9.8
2021,10,31,Seattle,21.9
2021,10,31,Las Vegas,13.4
2021,10,31,LA Chargers,34.7
2021,10,31,Philadelphia,16.3
2021,10,31,Kansas City,111.3
2021,10,31,Baltimore,23.1
2021,10,31,San Francisco,15.6
2021,10,31,Carolina,57.7
2021,10,31,Atlanta,13.2
2021,10,31,Cleveland,22.1
2021,10,31,Pittsburgh,15.0
2021,10,31,Washington,43.0
2021,10,31,Minnesota,16.8
2021,10,31,Miami,14.8
2021,10,31,Denver,15.9
2021,10,31,Chicago,103.7
2021,10,31,NY Giants,12.1
2021,10,31,Detroit,21.8
2021,10,31,Jacksonville,17.2
2021,10,31,Houston,32.0
2021,10,31,NY Jets,23.0
2021,10,24,New Orleans,11.2
2021,10,24,Buffalo,13.5
2021,10,24,Arizona,9.5
2021,10,24,Tampa Bay,14.3
2021,10,24,LA Rams,9.6
2021,10,24,Dallas,16.2
2021,10,24,Tennessee,10.6
2021,10,24,Cincinnati,11.7
2021,10,24,Kansas City,16.1
2021,10,24,Green Bay,13.5
2021,10,24,Seattle,15.5
2021,10,24,Washington,21.2
2021,10,24,Carolina,10.9
2021,10,24,Baltimore,9.6
2021,10,24,Chicago,19.8
2021,10,24,Philadelphia,9.7
2021,10,24,LA Chargers,34.7
2021,10,24,New England,11.6
2021,10,24,Las Vegas,12.5
2021,10,24,San Francisco,33.8
2021,10,24,Indianapolis,12.5
2021,10,24,Cleveland,22.1
2021,10,24,Atlanta,16.7
2021,10,24,Pittsburgh,15.0
2021,10,24,Minnesota,16.8
2021,10,24,Denver,15.9
2021,10,24,Miami,21.6
2021,10,24,Detroit,20.7
2021,10,24,Jacksonville,17.2
2021,10,24,NY Giants,23.7
2021,10,24,Houston,117.7
2021,10,24,NY Jets,11.5
2021,10,17,New Orleans,11.2
2021,10,17,Buffalo,11.5
2021,10,17,Dallas,11.7
2021,10,17,Tampa Bay,14.3
2021,10,17,Arizona,17.9
2021,10,17,Kansas City,19.6
2021,10,17,Washington,17.0
2021,10,17,Chicago,12.6
2021,10,17,LA Rams,18.3
2021,10,17,Green Bay,18.6
2021,10,17,LA Chargers,10.5
2021,10,17,Seattle,20.8
2021,10,17,Cincinnati,16.7
2021,10,17,Cleveland,12.6
2021,10,17,Tennessee,9.9
2021,10,17,Philadelphia,9.7
2021,10,17,San Francisco,33.8
2021,10,17,Carolina,14.8
2021,10,17,Houston,16.4
2021,10,17,Baltimore,16.9
2021,10,17,Atlanta,16.7
2021,10,17,Miami,17.7
2021,10,17,New England,14.1
2021,10,17,Las Vegas,28.8
2021,10,17,Indianapolis,20.5
2021,10,17,Minnesota,20.2
2021,10,17,Pittsburgh,14.5
2021,10,17,Detroit,16.9
2021,10,17,Denver,19.7
2021,10,17,NY Giants,18.4
2021,10,17,Jacksonville,23.9
2021,10,17,NY Jets,11.5
2021,10,10,New Orleans,19.3
2021,10,10,Buffalo,11.3
2021,10,10,Arizona,12.6
2021,10,10,Kansas City,11.2
2021,10,10,Tampa Bay,20.1
2021,10,10,Dallas,12.0
2021,10,10,Green Bay,13.6
2021,10,10,Washington,12.1
2021,10,10,San Francisco,21.8
2021,10,10,Cincinnati,17.5
2021,10,10,LA Rams,18.3
2021,10,10,Seattle,20.8
2021,10,10,Chicago,15.5
2021,10,10,Cleveland,23.4
2021,10,10,Las Vegas,15.2
2021,10,10,Indianapolis,12.9
2021,10,10,Carolina,13.5
2021,10,10,Baltimore,17.7
2021,10,10,Miami,11.9
2021,10,10,Minnesota,36.4
2021,10,10,Atlanta,12.5
2021,10,10,LA Chargers,13.6
2021,10,10,Tennessee,17.9
2021,10,10,Philadelphia,15.4
2021,10,10,Denver,36.3
2021,10,10,Jacksonville,16.2
2021,10,10,Detroit,25.1
2021,10,10,New England,17.3
2021,10,10,Pittsburgh,16.6
2021,10,10,NY Giants,18.0
2021,10,10,NY Jets,13.1
2021,10,3,New Orleans,9.0
2021,10,3,Tampa Bay,18.6
2021,10,3,San Francisco,10.6
2021,10,3,LA Rams,12.0
2021,10,3,Buffalo,11.2
2021,10,3,Arizona,13.1
2021,10,3,Green Bay,11.8
2021,10,3,Kansas City,18.2
2021,10,3,Dallas,9.3
2021,10,3,Houston,21.4
2021,10,3,Cincinnati,17.5
2021,10,3,Washington,13.8
2021,10,3,Cleveland,16.1
2021,10,3,Chicago,7.8
2021,10,3,Minnesota,15.1
2021,10,3,Denver,13.2
2021,10,3,Baltimore,20.4
2021,10,3,Seattle,22.9
2021,10,3,Las Vegas,16.0
2021,10,3,Detroit,16.8
2021,10,3,Tennessee,14.7
2021,10,3,Carolina,17.0
2021,10,3,Indianapolis,16.6
2021,10,3,Jacksonville,16.2
2021,10,3,Philadelphia,17.5
2021,10,3,New England,23.1
2021,10,3,LA Chargers,11.7
2021,10,3,Miami,11.8
2021,10,3,Pittsburgh,34.2
2021,10,3,NY Giants,24.7
2021,10,3,Atlanta,17.4
2021,9,26,Tampa Bay,7.1
2021,9,26,New Orleans,18.3
2021,9,26,Kansas City,11.6
2021,9,26,Arizona,13.9
2021,9,26,LA Rams,13.7
2021,9,26,San Francisco,18.0
2021,9,26,Seattle,13.2
2021,9,26,Buffalo,9.0
2021,9,26,Cleveland,11.5
2021,9,26,Cincinnati,14.6
2021,9,26,Baltimore,13.4
2021,9,26,Houston,21.4
2021,9,26,Minnesota,12.7
2021,9,26,Washington,13.6
2021,9,26,Green Bay,9.2
2021,9,26,Pittsburgh,19.5
2021,9,26,Detroit,20.2
2021,9,26,Las Vegas,16.3
2021,9,26,Chicago,10.3
2021,9,26,New England,10.4
2021,9,26,Denver,17.3
2021,9,26,NY Giants,13.5
2021,9,26,Tennessee,16.1
2021,9,26,Carolina,17.0
2021,9,26,Jacksonville,14.5
2021,9,26,Indianapolis,14.8
2021,9,26,Philadelphia,29.8
2021,9,26,Dallas,21.0
2021,9,26,Atlanta,13.9
2021,9,26,LA Chargers,24.0
2021,9,26,NY Jets,56.0
2021,9,19,New Orleans,8.5
2021,9,19,San Francisco,10.8
2021,9,19,Arizona,10.9
2021,9,19,Pittsburgh,11.0
2021,9,19,LA Rams,11.4
2021,9,19,Kansas City,12.0
2021,9,19,Houston,12.1
2021,9,19,Detroit,13.0
2021,9,19,Cincinnati,13.6
2021,9,19,Philadelphia,13.6
2021,9,19,Seattle,13.6
2021,9,19,Tampa Bay,13.9
2021,9,19,Washington,13.6
2021,9,19,Las Vegas,14.9
2021,9,19,Baltimore,15.0
2021,9,19,Miami,15.2
2021,9,19,Dallas,15.6
2021,9,19,Denver,15.6
2021,9,19,Cleveland,15.8
2021,9,19,NY Giants,13.5
2021,9,19,Minnesota,16.8
2021,9,19,NY Jets,18.0
2021,9,19,Jacksonville,18.8
2021,9,19,Tennessee,19.1
2021,9,19,Carolina,20.1
2021,9,19,Indianapolis,21.0
2021,9,19,LA Chargers,21.2
2021,9,19,Chicago,23.0
2021,9,19,Buffalo,23.2
2021,9,19,New England,24.6
2021,9,19,Atlanta,43.3
2021,9,19,Green Bay,76.3
2021,9,12,Tampa Bay,13.9
2021,9,12,Dallas,15.6
2021,9,5,Tampa Bay,11.0
2021,9,5,Green Bay,14.7
2021,9,5,New Orleans,14.7
2021,9,5,Buffalo,15.1
2021,9,5,Seattle,13.9
2021,9,5,Tennessee,16.1
2021,9,5,Pittsburgh,14.9
2021,9,5,Baltimore,113.3
2021,9,5,Miami,17.5
2021,9,5,Indianapolis,19.7
2021,9,5,Cleveland,18.1
2021,9,5,Las Vegas,14.5
2021,9,5,Kansas City,38.9
2021,9,5,Chicago,26.6
2021,9,5,Minnesota,13.7
2021,9,5,Detroit,11.9
2021,9,5,Atlanta,14.3
2021,9,5,Arizona,30.6
2021,9,5,Dallas,16.2
2021,9,5,Washington,16.3
2021,9,5,Houston,12.0
2021,9,5,LA Rams,13.6
2021,9,5,San Francisco,14.3
2021,9,5,LA Chargers,10.9
2021,9,5,Carolina,45.7
2021,9,5,Philadelphia,15.4
2021,9,5,New England,14.4
2021,9,5,Cincinnati,65.0
2021,9,5,Denver,14.4
2021,9,5,Jacksonville,20.2
2021,9,5,NY Giants,14.6
2021,9,5,NY Jets,25.0
2021,2,28,Tampa Bay,11.0
2021,2,28,Green Bay,14.7
2021,2,28,New Orleans,14.7
2021,2,28,Buffalo,15.1
2021,2,28,Seattle,13.9
2021,2,28,Tennessee,16.1
2021,2,28,Pittsburgh,14.9
2021,2,28,Baltimore,113.3
2021,2,28,Miami,17.5
2021,2,28,Indianapolis,19.7
2021,2,28,Cleveland,18.1
2021,2,28,Las Vegas,14.5
2021,2,28,Kansas City,38.9
2021,2,28,Chicago,26.6
2021,2,28,Minnesota,13.7
2021,2,28,Detroit,11.9
2021,2,28,Atlanta,14.3
2021,2,28,Arizona,30.6
2021,2,28,Dallas,16.2
2021,2,28,Washington,16.3
2021,2,28,Houston,12.0
2021,2,28,LA Rams,13.6
2021,2,28,San Francisco,14.3
2021,2,28,LA Chargers,10.9
2021,2,28,Carolina,45.7
2021,2,28,Philadelphia,15.4
2021,2,28,New England,14.4
2021,2,28,Cincinnati,65.0
2021,2,28,Denver,14.4
2021,2,28,Jacksonville,20.2
2021,2,28,NY Giants,14.6
2021,2,28,NY Jets,25.0
2021,2,21,Tampa Bay,11.0
2021,2,21,Green Bay,14.7
2021,2,21,New Orleans,14.7
2021,2,21,Buffalo,15.1
2021,2,21,Seattle,13.9
2021,2,21,Tennessee,16.1
2021,2,21,Pittsburgh,14.9
2021,2,21,Baltimore,113.3
2021,2,21,Miami,17.5
2021,2,21,Indianapolis,19.7
2021,2,21,Cleveland,18.1
2021,2,21,Las Vegas,14.5
2021,2,21,Kansas City,38.9
2021,2,21,Chicago,26.6
2021,2,21,Minnesota,13.7
2021,2,21,Detroit,11.9
2021,2,21,Atlanta,14.3
2021,2,21,Arizona,30.6
2021,2,21,Dallas,16.2
2021,2,21,Washington,16.3
2021,2,21,Houston,12.0
2021,2,21,LA Rams,13.6
2021,2,21,San Francisco,14.3
2021,2,21,LA Chargers,10.9
2021,2,21,Carolina,45.7
2021,2,21,Philadelphia,15.4
2021,2,21,New England,14.4
2021,2,21,Cincinnati,65.0
2021,2,21,Denver,14.4
2021,2,21,Jacksonville,20.2
2021,2,21,NY Giants,14.6
2021,2,21,NY Jets,25.0
2021,2,14,Tampa Bay,11.0
2021,2,14,Green Bay,14.7
2021,2,14,New Orleans,14.7
2021,2,14,Buffalo,15.1
2021,2,14,Seattle,13.9
2021,2,14,Tennessee,16.1
2021,2,14,Pittsburgh,14.9
2021,2,14,Baltimore,113.3
2021,2,14,Miami,17.5
2021,2,14,Indianapolis,19.7
2021,2,14,Cleveland,18.1
2021,2,14,Las Vegas,14.5
2021,2,14,Kansas City,38.9
2021,2,14,Chicago,26.6
2021,2,14,Minnesota,13.7
2021,2,14,Detroit,11.9
2021,2,14,Atlanta,14.3
2021,2,14,Arizona,30.6
2021,2,14,Dallas,16.2
2021,2,14,Washington,16.3
2021,2,14,Houston,12.0
2021,2,14,LA Rams,13.6
2021,2,14,San Francisco,14.3
2021,2,14,LA Chargers,10.9
2021,2,14,Carolina,45.7
2021,2,14,Philadelphia,15.4
2021,2,14,New England,14.4
2021,2,14,Cincinnati,65.0
2021,2,14,Denver,14.4
2021,2,14,Jacksonville,20.2
2021,2,14,NY Giants,14.6
2021,2,14,NY Jets,25.0
2021,2,7,Green Bay,14.7
2021,2,7,Tampa Bay,11.3
2021,2,7,New Orleans,14.7
2021,2,7,Buffalo,15.1
2021,2,7,Seattle,13.9
2021,2,7,Tennessee,16.1
2021,2,7,Pittsburgh,14.9
2021,2,7,Baltimore,113.3
2021,2,7,Miami,17.5
2021,2,7,Indianapolis,19.7
2021,2,7,Cleveland,18.1
2021,2,7,Kansas City,11.6
2021,2,7,Las Vegas,14.5
2021,2,7,Chicago,26.6
2021,2,7,Minnesota,13.7
2021,2,7,Detroit,11.9
2021,2,7,Atlanta,14.3
2021,2,7,Arizona,30.6
2021,2,7,Dallas,16.2
2021,2,7,Washington,16.3
2021,2,7,Houston,12.0
2021,2,7,LA Rams,13.6
2021,2,7,San Francisco,14.3
2021,2,7,LA Chargers,10.9
2021,2,7,Carolina,45.7
2021,2,7,Philadelphia,15.4
2021,2,7,New England,14.4
2021,2,7,Cincinnati,65.0
2021,2,7,Denver,14.4
2021,2,7,Jacksonville,20.2
2021,2,7,NY Giants,14.6
2021,2,7,NY Jets,25.0
2021,1,31,Baltimore,16.0
2021,1,31,Green Bay,11.2
2021,1,31,Pittsburgh,12.6
2021,1,31,Tampa Bay,12.5
2021,1,31,New Orleans,11.2
2021,1,31,Tennessee,18.6
2021,1,31,Seattle,14.6
2021,1,31,Miami,14.7
2021,1,31,Buffalo,12.5
2021,1,31,Indianapolis,15.2
2021,1,31,Chicago,9.5
2021,1,31,Las Vegas,16.7
2021,1,31,Kansas City,23.2
2021,1,31,Cleveland,18.7
2021,1,31,Minnesota,11.0
2021,1,31,Arizona,29.2
2021,1,31,Atlanta,26.2
2021,1,31,Dallas,13.9
2021,1,31,Detroit,26.6
2021,1,31,Washington,29.7
2021,1,31,Carolina,14.0
2021,1,31,San Francisco,19.9
2021,1,31,Cincinnati,14.6
2021,1,31,Houston,15.7
2021,1,31,Philadelphia,28.1
2021,1,31,LA Rams,37.1
2021,1,31,New England,22.3
2021,1,31,LA Chargers,16.6
2021,1,31,Denver,24.8
2021,1,31,Jacksonville,16.4
2021,1,31,NY Giants,20.7
2021,1,31,NY Jets,14.5
2021,1,24,Baltimore,10.2
2021,1,24,Green Bay,12.1
2021,1,24,Pittsburgh,14.4
2021,1,24,Tampa Bay,13.4
2021,1,24,Tennessee,10.1
2021,1,24,New Orleans,9.8
2021,1,24,Seattle,15.1
2021,1,24,Miami,17.4
2021,1,24,Indianapolis,13.0
2021,1,24,Buffalo,11.1
2021,1,24,Kansas City,12.8
2021,1,24,Las Vegas,16.6
2021,1,24,Cleveland,19.6
2021,1,24,Arizona,15.9
2021,1,24,Chicago,12.0
2021,1,24,Atlanta,13.7
2021,1,24,Washington,23.5
2021,1,24,Detroit,17.2
2021,1,24,Minnesota,15.1
2021,1,24,Dallas,7.1
2021,1,24,Philadelphia,16.2
2021,1,24,Carolina,22.8
2021,1,24,LA Rams,15.2
2021,1,24,San Francisco,13.9
2021,1,24,New England,25.3
2021,1,24,Houston,21.3
2021,1,24,Cincinnati,8.5
2021,1,24,Denver,13.4
2021,1,24,LA Chargers,13.4
2021,1,24,Jacksonville,19.1
2021,1,24,NY Giants,48.0
2021,1,24,NY Jets,12.6
2021,1,17,Baltimore,8.2
2021,1,17,Pittsburgh,14.9
2021,1,17,Tampa Bay,11.7
2021,1,17,Green Bay,13.2
2021,1,17,Miami,13.6
2021,1,17,Seattle,10.3
2021,1,17,New Orleans,17.0
2021,1,17,Tennessee,14.6
2021,1,17,Indianapolis,10.4
2021,1,17,Buffalo,12.8
2021,1,17,Las Vegas,15.7
2021,1,17,Kansas City,13.6
2021,1,17,Cleveland,11.7
2021,1,17,Arizona,15.0
2021,1,17,Washington,8.4
2021,1,17,Atlanta,18.8
2021,1,17,Detroit,12.2
2021,1,17,Chicago,11.4
2021,1,17,Minnesota,23.9
2021,1,17,Carolina,13.7
2021,1,17,Philadelphia,17.2
2021,1,17,LA Rams,13.3
2021,1,17,New England,73.3
2021,1,17,Houston,37.6
2021,1,17,San Francisco,22.9
2021,1,17,Dallas,9.1
2021,1,17,NY Giants,22.7
2021,1,17,Denver,11.4
2021,1,17,LA Chargers,17.3
2021,1,17,Jacksonville,35.4
2021,1,17,Cincinnati,44.1
2021,1,17,NY Jets,61.7
2021,1,10,Pittsburgh,19.2
2021,1,10,Green Bay,14.6
2021,1,10,Tampa Bay,17.4
2021,1,10,Miami,21.4
2021,1,10,New Orleans,20.2
2021,1,10,Baltimore,11.8
2021,1,10,Tennessee,12.3
2021,1,10,Seattle,27.3
2021,1,10,Indianapolis,14.3
2021,1,10,Las Vegas,14.2
2021,1,10,Buffalo,13.2
2021,1,10,Kansas City,20.3
2021,1,10,Arizona,8.3
2021,1,10,Cleveland,11.2
2021,1,10,Atlanta,20.8
2021,1,10,Minnesota,15.6
2021,1,10,Washington,13.8
2021,1,10,Detroit,13.5
2021,1,10,New England,6.5
2021,1,10,Philadelphia,17.4
2021,1,10,Houston,19.9
2021,1,10,Carolina,13.9
2021,1,10,Chicago,13.0
2021,1,10,San Francisco,16.8
2021,1,10,LA Rams,12.2
2021,1,10,Jacksonville,16.3
2021,1,10,NY Giants,17.1
2021,1,10,Cincinnati,28.0
2021,1,10,Dallas,22.8
2021,1,10,Denver,20.6
2021,1,10,NY Jets,13.4
2021,1,3,Pittsburgh,17.6
2021,1,3,Miami,17.3
2021,1,3,New Orleans,9.4
2021,1,3,Green Bay,9.6
2021,1,3,Seattle,13.1
2021,1,3,Tampa Bay,17.4
2021,1,3,Baltimore,15.6
2021,1,3,Tennessee,10.0
2021,1,3,Kansas City,20.1
2021,1,3,Indianapolis,12.9
2021,1,3,Las Vegas,40.5
2021,1,3,Buffalo,12.3
2021,1,3,Atlanta,7.1
2021,1,3,Minnesota,13.8
2021,1,3,Arizona,17.5
2021,1,3,Cleveland,17.0
2021,1,3,Houston,9.4
2021,1,3,Washington,8.2
2021,1,3,Philadelphia,14.7
2021,1,3,Detroit,15.5
2021,1,3,Carolina,13.9
2021,1,3,San Francisco,15.0
2021,1,3,Chicago,14.0
2021,1,3,LA Chargers,21.6
2021,1,3,Cincinnati,9.1
2021,1,3,Jacksonville,15.0
2021,1,3,NY Giants,20.3
2021,1,3,LA Rams,15.4
2021,1,3,Dallas,15.4
2021,1,3,New England,9.0
2021,1,3,Denver,37.3
2021,1,3,NY Jets,86.7
2020,12,27,Baltimore,10.2
2020,12,27,Green Bay,12.1
2020,12,27,Pittsburgh,14.4
2020,12,27,Tampa Bay,12.5
2020,12,27,New Orleans,11.2
2020,12,27,Tennessee,10.1
2020,12,27,Seattle,15.1
2020,12,27,Miami,14.7
2020,12,27,Indianapolis,13.0
2020,12,27,Buffalo,11.1
2020,12,27,Kansas City,12.8
2020,12,27,Las Vegas,16.7
2020,12,27,Cleveland,19.6
2020,12,27,Chicago,12.0
2020,12,27,Atlanta,13.7
2020,12,27,Washington,23.5
2020,12,27,Minnesota,11.0
2020,12,27,Arizona,29.2
2020,12,27,Dallas,7.1
2020,12,27,Detroit,26.6
2020,12,27,Philadelphia,16.2
2020,12,27,Carolina,22.8
2020,12,27,LA Rams,15.2
2020,12,27,San Francisco,19.9
2020,12,27,New England,25.3
2020,12,27,Houston,21.3
2020,12,27,Cincinnati,8.5
2020,12,27,Denver,13.4
2020,12,27,LA Chargers,13.4
2020,12,27,Jacksonville,19.1
2020,12,27,NY Giants,48.0
2020,12,27,NY Jets,12.6
2020,12,20,Baltimore,8.2
2020,12,20,Pittsburgh,14.9
2020,12,20,Green Bay,12.1
2020,12,20,Tampa Bay,11.7
2020,12,20,Miami,13.6
2020,12,20,Seattle,10.3
2020,12,20,New Orleans,17.0
2020,12,20,Tennessee,14.6
2020,12,20,Indianapolis,10.4
2020,12,20,Buffalo,11.1
2020,12,20,Kansas City,13.6
2020,12,20,Las Vegas,16.6
2020,12,20,Cleveland,11.7
2020,12,20,Arizona,15.0
2020,12,20,Washington,8.4
2020,12,20,Atlanta,18.8
2020,12,20,Detroit,12.2
2020,12,20,Chicago,11.4
2020,12,20,Minnesota,23.9
2020,12,20,Philadelphia,17.2
2020,12,20,Carolina,22.8
2020,12,20,LA Rams,13.3
2020,12,20,New England,73.3
2020,12,20,Houston,37.6
2020,12,20,San Francisco,22.9
2020,12,20,Dallas,9.1
2020,12,20,NY Giants,22.7
2020,12,20,Denver,13.4
2020,12,20,LA Chargers,13.4
2020,12,20,Jacksonville,35.4
2020,12,20,Cincinnati,44.1
2020,12,20,NY Jets,61.7
2020,12,13,Pittsburgh,19.2
2020,12,13,Green Bay,14.6
2020,12,13,Tampa Bay,17.4
2020,12,13,Miami,21.4
2020,12,13,New Orleans,20.2
2020,12,13,Baltimore,11.8
2020,12,13,Tennessee,12.3
2020,12,13,Seattle,27.3
2020,12,13,Indianapolis,14.3
2020,12,13,Las Vegas,14.2
2020,12,13,Buffalo,13.2
2020,12,13,Kansas City,20.3
2020,12,13,Arizona,8.3
2020,12,13,Cleveland,11.2
2020,12,13,Atlanta,20.8
2020,12,13,Minnesota,15.6
2020,12,13,Washington,13.8
2020,12,13,Detroit,13.5
2020,12,13,Philadelphia,17.4
2020,12,13,Houston,19.9
2020,12,13,Carolina,13.9
2020,12,13,Chicago,13.0
2020,12,13,San Francisco,16.8
2020,12,13,LA Rams,13.3
2020,12,13,New England,73.3
2020,12,13,Jacksonville,16.3
2020,12,13,NY Giants,17.1
2020,12,13,Cincinnati,28.0
2020,12,13,Dallas,22.8
2020,12,13,Denver,20.6
2020,12,13,NY Jets,13.4
2020,12,6,Pittsburgh,17.6
2020,12,6,Miami,17.3
2020,12,6,New Orleans,9.4
2020,12,6,Green Bay,9.6
2020,12,6,Seattle,13.1
2020,12,6,Tampa Bay,17.4
2020,12,6,Baltimore,15.6
2020,12,6,Tennessee,10.0
2020,12,6,Kansas City,20.1
2020,12,6,Indianapolis,12.9
2020,12,6,Las Vegas,40.5
2020,12,6,Buffalo,12.3
2020,12,6,Atlanta,7.1
2020,12,6,Minnesota,13.8
2020,12,6,Arizona,17.5
2020,12,6,Cleveland,17.0
2020,12,6,Houston,9.4
2020,12,6,Washington,8.2
2020,12,6,Philadelphia,14.7
2020,12,6,Detroit,15.5
2020,12,6,Carolina,13.9
2020,12,6,San Francisco,15.0
2020,12,6,Chicago,14.0
2020,12,6,LA Chargers,21.6
2020,12,6,Cincinnati,9.1
2020,12,6,Jacksonville,15.0
2020,12,6,NY Giants,20.3
2020,12,6,LA Rams,15.4
2020,12,6,Dallas,15.4
2020,12,6,New England,9.0
2020,12,6,Denver,37.3
2020,12,6,NY Jets,86.7
2020,11,29,Baltimore,11.8
2020,11,29,Tampa Bay,10.1
2020,11,29,Pittsburgh,13.4
2020,11,29,Green Bay,10.8
2020,11,29,Seattle,16.8
2020,11,29,Cleveland,10.8
2020,11,29,Kansas City,6.7
2020,11,29,Tennessee,12.2
2020,11,29,New Orleans,15.4
2020,11,29,Miami,12.6
2020,11,29,Detroit,16.8
2020,11,29,Las Vegas,17.4
2020,11,29,Indianapolis,13.9
2020,11,29,Arizona,14.0
2020,11,29,Minnesota,15.9
2020,11,29,San Francisco,14.2
2020,11,29,Philadelphia,20.1
2020,11,29,Buffalo,23.4
2020,11,29,Atlanta,17.6
2020,11,29,LA Rams,15.5
2020,11,29,Washington,15.9
2020,11,29,Houston,18.3
2020,11,29,Cincinnati,13.8
2020,11,29,Jacksonville,10.1
2020,11,29,Chicago,27.9
2020,11,29,Carolina,11.8
2020,11,29,NY Giants,15.5
2020,11,29,LA Chargers,12.4
2020,11,29,Dallas,47.3
2020,11,29,Denver,25.7
2020,11,29,New England,40.2
2020,11,29,NY Jets,19.0
2020,11,22,Baltimore,11.8
2020,11,22,Pittsburgh,7.3
2020,11,22,Seattle,11.6
2020,11,22,Tampa Bay,8.5
2020,11,22,Green Bay,20.1
2020,11,22,New Orleans,13.6
2020,11,22,Tennessee,14.3
2020,11,22,Detroit,11.9
2020,11,22,Cleveland,31.4
2020,11,22,Las Vegas,12.3
2020,11,22,Miami,12.6
2020,11,22,Indianapolis,13.9
2020,11,22,Philadelphia,13.0
2020,11,22,Buffalo,12.1
2020,11,22,Kansas City,17.9
2020,11,22,Minnesota,15.9
2020,11,22,Arizona,11.5
2020,11,22,Chicago,11.3
2020,11,22,Atlanta,11.6
2020,11,22,San Francisco,16.3
2020,11,22,Houston,11.4
2020,11,22,Denver,16.6
2020,11,22,Washington,17.7
2020,11,22,LA Rams,19.4
2020,11,22,Cincinnati,14.7
2020,11,22,Dallas,34.4
2020,11,22,NY Giants,12.0
2020,11,22,Carolina,18.9
2020,11,22,Jacksonville,17.2
2020,11,22,New England,24.0
2020,11,22,LA Chargers,13.0
2020,11,15,Baltimore,12.3
2020,11,15,Seattle,11.6
2020,11,15,Green Bay,13.4
2020,11,15,New Orleans,13.6
2020,11,15,Tennessee,8.0
2020,11,15,Cleveland,12.0
