year,month,day,team,ranking
2018,1,21,Dallas,14
2018,1,21,Detroit,15
2018,1,21,Green Bay,16
2018,1,21,Tennessee,17
2018,1,21,Tampa Bay,18
2018,1,21,Las Vegas,19
2018,1,21,Washington,20
2018,1,21,Arizona,21
2018,1,21,Cincinnati,22
2018,1,21,Chicago,23
2018,1,21,Denver,24
2018,1,21,Buffalo,25
2018,1,21,Houston,26
2018,1,21,San Francisco,27
2018,1,21,NY Giants,28
2018,1,21,Miami,29
2018,1,21,NY Jets,30
2018,1,21,Indianapolis,31
2018,1,21,Cleveland,32
2018,1,14,New England,1
2018,1,14,Philadelphia,2
2018,1,14,Pittsburgh,3
2018,1,14,Minnesota,4
2018,1,14,New Orleans,5
2018,1,14,Jacksonville,6
2018,1,14,LA Rams,7
2018,1,14,Atlanta,8
2018,1,14,Kansas City,9
2018,1,14,Baltimore,10
2018,1,14,Seattle,11
2018,1,14,Carolina,12
2018,1,14,LA Chargers,13
2018,1,14,Dallas,14
2018,1,14,Detroit,15
2018,1,14,Green Bay,16
2018,1,14,Tennessee,17
2018,1,14,Tampa Bay,18
2018,1,14,Las Vegas,19
2018,1,14,Washington,20
2018,1,14,Arizona,21
2018,1,14,Cincinnati,22
2018,1,14,Chicago,23
2018,1,14,Denver,24
2018,1,14,Buffalo,25
2018,1,14,Houston,26
2018,1,14,San Francisco,27
2018,1,14,NY Giants,28
2018,1,14,Miami,29
2018,1,14,NY Jets,30
2018,1,14,Indianapolis,31
2018,1,14,Cleveland,32
2018,1,7,New England,1
2018,1,7,Philadelphia,2
2018,1,7,Pittsburgh,3
2018,1,7,Minnesota,4
2018,1,7,New Orleans,5
2018,1,7,Jacksonville,6
2018,1,7,LA Rams,7
2018,1,7,Atlanta,8
2018,1,7,Kansas City,9
2018,1,7,Baltimore,10
2018,1,7,Seattle,11
2018,1,7,Carolina,12
2018,1,7,LA Chargers,13
2018,1,7,Dallas,14
2018,1,7,Detroit,15
2018,1,7,Green Bay,16
2018,1,7,Tennessee,17
2018,1,7,Tampa Bay,18
2018,1,7,Las Vegas,19
2018,1,7,Washington,20
2018,1,7,Arizona,21
2018,1,7,Cincinnati,22
2018,1,7,Chicago,23
2018,1,7,Denver,24
2018,1,7,Buffalo,25
2018,1,7,Houston,26
2018,1,7,San Francisco,27
2018,1,7,NY Giants,28
2018,1,7,Miami,29
2018,1,7,NY Jets,30
2018,1,7,Indianapolis,31
2018,1,7,Cleveland,32
2017,12,31,New England,1
2017,12,31,Philadelphia,2
2017,12,31,Pittsburgh,3
2017,12,31,Minnesota,4
2017,12,31,LA Rams,5
2017,12,31,New Orleans,6
2017,12,31,Jacksonville,7
2017,12,31,Kansas City,8
2017,12,31,Baltimore,9
2017,12,31,Seattle,10
2017,12,31,Carolina,11
2017,12,31,Atlanta,12
2017,12,31,LA Chargers,13
2017,12,31,Dallas,14
2017,12,31,Green Bay,15
2017,12,31,Detroit,16
2017,12,31,Las Vegas,17
2017,12,31,Washington,18
2017,12,31,Tennessee,19
2017,12,31,Tampa Bay,20
2017,12,31,Arizona,21
2017,12,31,Cincinnati,22
2017,12,31,Houston,23
2017,12,31,Chicago,24
2017,12,31,Denver,25
2017,12,31,Buffalo,26
2017,12,31,Miami,27
2017,12,31,NY Giants,28
2017,12,31,San Francisco,29
2017,12,31,NY Jets,30
2017,12,31,Indianapolis,31
2017,12,31,Cleveland,32
2017,12,24,New England,1
2017,12,24,Philadelphia,2
2017,12,24,Minnesota,3
2017,12,24,LA Rams,4
2017,12,24,Pittsburgh,5
2017,12,24,Jacksonville,6
2017,12,24,New Orleans,7
2017,12,24,Kansas City,8
2017,12,24,Baltimore,9
2017,12,24,Seattle,10
2017,12,24,Carolina,11
2017,12,24,Atlanta,12
2017,12,24,Dallas,13
2017,12,24,LA Chargers,14
2017,12,24,Detroit,15
2017,12,24,Green Bay,16
2017,12,24,Las Vegas,17
2017,12,24,Tennessee,18
2017,12,24,Washington,19
2017,12,24,Tampa Bay,20
2017,12,24,Houston,21
2017,12,24,Denver,22
2017,12,24,Cincinnati,23
2017,12,24,Arizona,24
2017,12,24,Buffalo,25
2017,12,24,Chicago,26
2017,12,24,NY Giants,27
2017,12,24,Miami,28
2017,12,24,NY Jets,29
2017,12,24,San Francisco,30
2017,12,24,Indianapolis,31
2017,12,24,Cleveland,32
2017,12,17,New England,1
2017,12,17,Philadelphia,2
2017,12,17,Pittsburgh,3
2017,12,17,New Orleans,4
2017,12,17,Seattle,5
2017,12,17,Minnesota,6
2017,12,17,LA Rams,7
2017,12,17,Jacksonville,8
2017,12,17,Kansas City,9
2017,12,17,Baltimore,10
2017,12,17,Atlanta,11
2017,12,17,Carolina,12
2017,12,17,Dallas,13
2017,12,17,LA Chargers,14
2017,12,17,Green Bay,15
2017,12,17,Detroit,16
2017,12,17,Las Vegas,17
2017,12,17,Houston,18
2017,12,17,Tennessee,19
2017,12,17,Washington,20
2017,12,17,Tampa Bay,21
2017,12,17,Cincinnati,22
2017,12,17,Denver,23
2017,12,17,Arizona,24
2017,12,17,Chicago,25
2017,12,17,Buffalo,26
2017,12,17,Miami,27
2017,12,17,NY Giants,28
2017,12,17,NY Jets,29
2017,12,17,San Francisco,30
2017,12,17,Indianapolis,31
2017,12,17,Cleveland,32
2017,12,10,New England,1
2017,12,10,Philadelphia,2
2017,12,10,Pittsburgh,3
2017,12,10,Seattle,4
2017,12,10,New Orleans,5
2017,12,10,Minnesota,6
2017,12,10,LA Rams,7
2017,12,10,Jacksonville,8
2017,12,10,Baltimore,9
2017,12,10,Kansas City,10
2017,12,10,Atlanta,11
2017,12,10,Carolina,12
2017,12,10,LA Chargers,13
2017,12,10,Green Bay,14
2017,12,10,Dallas,15
2017,12,10,Detroit,16
2017,12,10,Houston,17
2017,12,10,Tennessee,18
2017,12,10,Cincinnati,19
2017,12,10,Las Vegas,20
2017,12,10,Washington,21
2017,12,10,Tampa Bay,22
2017,12,10,Arizona,23
2017,12,10,NY Giants,24
2017,12,10,Buffalo,25
2017,12,10,Denver,26
2017,12,10,Miami,27
2017,12,10,Chicago,28
2017,12,10,NY Jets,29
2017,12,10,Indianapolis,30
2017,12,10,San Francisco,31
2017,12,10,Cleveland,32
2017,12,3,New England,1
2017,12,3,Philadelphia,2
2017,12,3,Pittsburgh,3
2017,12,3,New Orleans,4
2017,12,3,Minnesota,5
2017,12,3,Seattle,6
2017,12,3,LA Rams,7
2017,12,3,Kansas City,8
2017,12,3,Jacksonville,9
2017,12,3,Atlanta,10
2017,12,3,Baltimore,11
2017,12,3,Carolina,12
2017,12,3,LA Chargers,13
2017,12,3,Green Bay,14
2017,12,3,Detroit,15
2017,12,3,Dallas,16
2017,12,3,Houston,17
2017,12,3,Cincinnati,18
2017,12,3,Las Vegas,19
2017,12,3,Tennessee,20
2017,12,3,Washington,21
2017,12,3,Tampa Bay,22
2017,12,3,Denver,23
2017,12,3,Arizona,24
2017,12,3,Buffalo,25
2017,12,3,NY Giants,26
2017,12,3,Chicago,27
2017,12,3,Miami,28
2017,12,3,NY Jets,29
2017,12,3,Indianapolis,30
2017,12,3,San Francisco,31
2017,12,3,Cleveland,32
2017,11,26,New England,1
2017,11,26,Philadelphia,2
2017,11,26,Pittsburgh,3
2017,11,26,New Orleans,4
2017,11,26,Kansas City,5
2017,11,26,Minnesota,6
2017,11,26,Seattle,7
2017,11,26,Jacksonville,8
2017,11,26,LA Rams,9
2017,11,26,Baltimore,10
2017,11,26,Atlanta,11
2017,11,26,Carolina,12
2017,11,26,LA Chargers,13
2017,11,26,Detroit,14
2017,11,26,Green Bay,15
2017,11,26,Houston,16
2017,11,26,Dallas,17
2017,11,26,Washington,18
2017,11,26,Las Vegas,19
2017,11,26,Cincinnati,20
2017,11,26,Tennessee,21
2017,11,26,Tampa Bay,22
2017,11,26,Denver,23
2017,11,26,Arizona,24
2017,11,26,NY Giants,25
2017,11,26,Chicago,26
2017,11,26,Buffalo,27
2017,11,26,NY Jets,28
2017,11,26,Miami,29
2017,11,26,Indianapolis,30
2017,11,26,San Francisco,31
2017,11,26,Cleveland,32
2017,11,19,New England,1
2017,11,19,Pittsburgh,2
2017,11,19,New Orleans,3
2017,11,19,Kansas City,4
2017,11,19,Philadelphia,5
2017,11,19,LA Rams,6
2017,11,19,Seattle,7
2017,11,19,Jacksonville,8
2017,11,19,Minnesota,9
2017,11,19,Dallas,10
2017,11,19,Green Bay,11
2017,11,19,Carolina,12
2017,11,19,Atlanta,13
2017,11,19,Detroit,14
2017,11,19,Baltimore,15
2017,11,19,Houston,16
2017,11,19,Las Vegas,17
2017,11,19,LA Chargers,18
2017,11,19,Cincinnati,19
2017,11,19,Washington,20
2017,11,19,Tennessee,21
2017,11,19,Tampa Bay,22
2017,11,19,Denver,23
2017,11,19,Buffalo,24
2017,11,19,Arizona,25
2017,11,19,NY Giants,26
2017,11,19,Chicago,27
2017,11,19,Miami,28
2017,11,19,NY Jets,29
2017,11,19,Indianapolis,30
2017,11,19,San Francisco,31
2017,11,19,Cleveland,32
2017,11,12,New England,1
2017,11,12,Pittsburgh,2
2017,11,12,Kansas City,3
2017,11,12,Philadelphia,4
2017,11,12,Seattle,5
2017,11,12,Dallas,6
2017,11,12,Jacksonville,7
2017,11,12,LA Rams,8
2017,11,12,New Orleans,9
2017,11,12,Minnesota,10
2017,11,12,Green Bay,11
2017,11,12,Carolina,12
2017,11,12,Detroit,13
2017,11,12,Houston,14
2017,11,12,Atlanta,15
2017,11,12,Baltimore,16
2017,11,12,Las Vegas,17
2017,11,12,Tennessee,18
2017,11,12,LA Chargers,19
2017,11,12,Washington,20
2017,11,12,Cincinnati,21
2017,11,12,Buffalo,22
2017,11,12,Denver,23
2017,11,12,Tampa Bay,24
2017,11,12,NY Giants,25
2017,11,12,Arizona,26
2017,11,12,Chicago,27
2017,11,12,Miami,28
2017,11,12,NY Jets,29
2017,11,12,Indianapolis,30
2017,11,12,San Francisco,31
2017,11,12,Cleveland,32
2017,11,5,New England,1
2017,11,5,Kansas City,2
2017,11,5,Pittsburgh,3
2017,11,5,Seattle,4
2017,11,5,Philadelphia,5
2017,11,5,Dallas,6
2017,11,5,Green Bay,7
2017,11,5,Jacksonville,8
2017,11,5,Minnesota,9
2017,11,5,Houston,10
2017,11,5,New Orleans,11
2017,11,5,LA Rams,12
2017,11,5,Carolina,13
2017,11,5,Baltimore,14
2017,11,5,Atlanta,15
2017,11,5,Detroit,16
2017,11,5,Las Vegas,17
2017,11,5,Denver,18
2017,11,5,Cincinnati,19
2017,11,5,LA Chargers,20
2017,11,5,Tennessee,21
2017,11,5,Buffalo,22
2017,11,5,NY Giants,23
2017,11,5,Tampa Bay,24
2017,11,5,Washington,25
2017,11,5,Arizona,26
2017,11,5,Chicago,27
2017,11,5,Miami,28
2017,11,5,NY Jets,29
2017,11,5,Indianapolis,30
2017,11,5,San Francisco,31
2017,11,5,Cleveland,32
2017,10,29,New England,1
2017,10,29,Kansas City,2
2017,10,29,Pittsburgh,3
2017,10,29,Green Bay,4
2017,10,29,Atlanta,5
2017,10,29,Seattle,6
2017,10,29,Las Vegas,7
2017,10,29,Dallas,8
2017,10,29,Tennessee,9
2017,10,29,Denver,10
2017,10,29,Minnesota,11
2017,10,29,Jacksonville,12
2017,10,29,Detroit,13
2017,10,29,Philadelphia,14
2017,10,29,Carolina,15
2017,10,29,Baltimore,16
2017,10,29,Tampa Bay,17
2017,10,29,Arizona,18
2017,10,29,Houston,19
2017,10,29,New Orleans,20
2017,10,29,Washington,21
2017,10,29,Cincinnati,22
2017,10,29,NY Giants,23
2017,10,29,LA Rams,24
2017,10,29,Buffalo,25
2017,10,29,LA Chargers,26
2017,10,29,Miami,27
2017,10,29,Indianapolis,28
2017,10,29,Chicago,29
2017,10,29,Cleveland,30
2017,10,29,San Francisco,31
2017,10,29,NY Jets,32
2017,10,22,New England,1
2017,10,22,Pittsburgh,2
2017,10,22,Kansas City,3
2017,10,22,Las Vegas,4
2017,10,22,Green Bay,5
2017,10,22,Seattle,6
2017,10,22,Baltimore,7
2017,10,22,Atlanta,8
2017,10,22,Denver,9
2017,10,22,Carolina,10
2017,10,22,Tennessee,11
2017,10,22,Dallas,12
2017,10,22,Detroit,13
2017,10,22,Philadelphia,14
2017,10,22,Tampa Bay,15
2017,10,22,Arizona,16
2017,10,22,Minnesota,17
2017,10,22,Cincinnati,18
2017,10,22,NY Giants,19
2017,10,22,Houston,20
2017,10,22,LA Chargers,21
2017,10,22,Jacksonville,22
2017,10,22,Miami,23
2017,10,22,LA Rams,24
2017,10,22,Washington,25
2017,10,22,New Orleans,26
2017,10,22,Buffalo,27
2017,10,22,Indianapolis,28
2017,10,22,Cleveland,29
2017,10,22,Chicago,30
2017,10,22,San Francisco,31
2017,10,22,NY Jets,32
2017,10,15,New England,1
2017,10,15,Pittsburgh,2
2017,10,15,Green Bay,3
2017,10,15,Kansas City,4
2017,10,15,Seattle,5
2017,10,15,Dallas,6
2017,10,15,Las Vegas,7
2017,10,15,Baltimore,8
2017,10,15,Carolina,9
2017,10,15,Atlanta,10
2017,10,15,Minnesota,11
2017,10,15,Philadelphia,12
2017,10,15,Denver,13
2017,10,15,Arizona,14
2017,10,15,Detroit,15
2017,10,15,NY Giants,16
2017,10,15,Jacksonville,17
2017,10,15,Tennessee,18
2017,10,15,Tampa Bay,19
2017,10,15,LA Rams,20
2017,10,15,Houston,21
2017,10,15,Cincinnati,22
2017,10,15,LA Chargers,23
2017,10,15,New Orleans,24
2017,10,15,Miami,25
2017,10,15,Washington,26
2017,10,15,Buffalo,27
2017,10,15,Indianapolis,28
2017,10,15,Chicago,29
2017,10,15,Cleveland,30
2017,10,15,San Francisco,31
2017,10,15,NY Jets,32
2017,10,8,New England,1
2017,10,8,Pittsburgh,2
2017,10,8,Seattle,3
2017,10,8,Kansas City,4
2017,10,8,Green Bay,5
2017,10,8,Dallas,6
2017,10,8,Las Vegas,7
2017,10,8,Atlanta,8
2017,10,8,Arizona,9
2017,10,8,Cincinnati,10
2017,10,8,Denver,11
2017,10,8,Minnesota,12
2017,10,8,Carolina,13
2017,10,8,NY Giants,14
2017,10,8,Baltimore,15
2017,10,8,Tennessee,16
2017,10,8,Houston,17
2017,10,8,Tampa Bay,18
2017,10,8,Philadelphia,19
2017,10,8,Detroit,20
2017,10,8,New Orleans,21
2017,10,8,LA Chargers,22
2017,10,8,Indianapolis,23
2017,10,8,Washington,24
2017,10,8,Jacksonville,25
2017,10,8,Miami,26
2017,10,8,Buffalo,27
2017,10,8,LA Rams,28
2017,10,8,Chicago,29
2017,10,8,Cleveland,30
2017,10,8,San Francisco,31
2017,10,8,NY Jets,32
2017,10,1,New England,1
2017,10,1,Pittsburgh,2
2017,10,1,Seattle,3
2017,10,1,Green Bay,4
2017,10,1,Dallas,5
2017,10,1,Kansas City,6
2017,10,1,Las Vegas,7
2017,10,1,Atlanta,8
2017,10,1,Arizona,9
2017,10,1,Cincinnati,10
2017,10,1,Denver,11
2017,10,1,Minnesota,12
2017,10,1,Carolina,13
2017,10,1,NY Giants,14
2017,10,1,Baltimore,15
2017,10,1,Tennessee,16
2017,10,1,Houston,17
2017,10,1,Tampa Bay,18
2017,10,1,Philadelphia,19
2017,10,1,Detroit,20
2017,10,1,New Orleans,21
2017,10,1,LA Chargers,22
2017,10,1,Indianapolis,23
2017,10,1,Washington,24
2017,10,1,Jacksonville,25
2017,10,1,Miami,26
2017,10,1,Buffalo,27
2017,10,1,LA Rams,28
2017,10,1,Chicago,29
2017,10,1,Cleveland,30
2017,10,1,San Francisco,31
2017,10,1,NY Jets,32
2017,9,24,New England,1
2017,9,24,Pittsburgh,2
2017,9,24,Kansas City,3
2017,9,24,Las Vegas,4
2017,9,24,Green Bay,5
2017,9,24,Seattle,6
2017,9,24,Baltimore,7
2017,9,24,Atlanta,8
2017,9,24,Denver,9
2017,9,24,Carolina,10
2017,9,24,Tennessee,11
2017,9,24,Dallas,12
2017,9,24,Detroit,13
2017,9,24,Philadelphia,14
2017,9,24,Tampa Bay,15
2017,9,24,Arizona,16
2017,9,24,Minnesota,17
2017,9,24,Cincinnati,18
2017,9,24,NY Giants,19
2017,9,24,Houston,20
2017,9,24,LA Chargers,21
2017,9,24,Jacksonville,22
2017,9,24,Miami,23
2017,9,24,LA Rams,24
2017,9,24,Washington,25
2017,9,24,New Orleans,26
2017,9,24,Buffalo,27
2017,9,24,Indianapolis,28
2017,9,24,Cleveland,29
2017,9,24,Chicago,30
2017,9,24,San Francisco,31
2017,9,24,NY Jets,32
2017,9,17,New England,1
2017,9,17,Pittsburgh,2
2017,9,17,Green Bay,3
2017,9,17,Kansas City,4
2017,9,17,Seattle,5
2017,9,17,Dallas,6
2017,9,17,Las Vegas,7
2017,9,17,Baltimore,8
2017,9,17,Carolina,9
2017,9,17,Atlanta,10
2017,9,17,Minnesota,11
2017,9,17,Philadelphia,12
2017,9,17,Denver,13
2017,9,17,Arizona,14
2017,9,17,Detroit,15
2017,9,17,NY Giants,16
2017,9,17,Jacksonville,17
2017,9,17,Tennessee,18
2017,9,17,Tampa Bay,19
2017,9,17,LA Rams,20
2017,9,17,Houston,21
2017,9,17,Cincinnati,22
2017,9,17,LA Chargers,23
2017,9,17,New Orleans,24
2017,9,17,Miami,25
2017,9,17,Washington,26
2017,9,17,Buffalo,27
2017,9,17,Indianapolis,28
2017,9,17,Chicago,29
2017,9,17,Cleveland,30
2017,9,17,San Francisco,31
2017,9,17,NY Jets,32
2017,9,10,New England,1
2017,9,10,Pittsburgh,2
2017,9,10,Seattle,3
2017,9,10,Kansas City,4
2017,9,10,Green Bay,5
2017,9,10,Dallas,6
2017,9,10,Las Vegas,7
2017,9,10,Atlanta,8
2017,9,10,Arizona,9
2017,9,10,Cincinnati,10
2017,9,10,Denver,11
2017,9,10,Minnesota,12
2017,9,10,Carolina,13
2017,9,10,NY Giants,14
2017,9,10,Baltimore,15
2017,9,10,Tennessee,16
2017,9,10,Houston,17
2017,9,10,Tampa Bay,18
2017,9,10,Philadelphia,19
2017,9,10,Detroit,20
2017,9,10,New Orleans,21
2017,9,10,LA Chargers,22
2017,9,10,Indianapolis,23
2017,9,10,Washington,24
2017,9,10,Jacksonville,25
2017,9,10,Miami,26
2017,9,10,Buffalo,27
2017,9,10,LA Rams,28
2017,9,10,Chicago,29
2017,9,10,Cleveland,30
2017,9,10,San Francisco,31
2017,9,10,NY Jets,32
2017,9,3,New England,1
2017,9,3,Pittsburgh,2
2017,9,3,Seattle,3
2017,9,3,Green Bay,4
2017,9,3,Dallas,5
2017,9,3,Kansas City,6
2017,9,3,Las Vegas,7
2017,9,3,Atlanta,8
2017,9,3,Arizona,9
2017,9,3,Cincinnati,10
2017,9,3,Denver,11
2017,9,3,Minnesota,12
2017,9,3,Carolina,13
2017,9,3,NY Giants,14
2017,9,3,Baltimore,15
2017,9,3,Tennessee,16
2017,9,3,Houston,17
2017,9,3,Tampa Bay,18
2017,9,3,Philadelphia,19
2017,9,3,Detroit,20
2017,9,3,New Orleans,21
2017,9,3,LA Chargers,22
2017,9,3,Indianapolis,23
2017,9,3,Washington,24
2017,9,3,Jacksonville,25
2017,9,3,Miami,26
2017,9,3,Buffalo,27
2017,9,3,LA Rams,28
2017,9,3,Chicago,29
2017,9,3,Cleveland,30
2017,9,3,San Francisco,31
2017,9,3,NY Jets,32
2017,2,5,New England,1
2017,2,5,Atlanta,2
2017,2,5,Kansas City,3
2017,2,5,Pittsburgh,4
2017,2,5,Seattle,5
2017,2,5,Dallas,6
2017,2,5,Denver,7
2017,2,5,Arizona,8
2017,2,5,Green Bay,9
2017,2,5,Las Vegas,10
2017,2,5,Cincinnati,11
2017,2,5,Philadelphia,12
2017,2,5,Baltimore,13
2017,2,5,Buffalo,14
2017,2,5,New Orleans,15
2017,2,5,Minnesota,16
2017,2,5,Carolina,17
2017,2,5,Indianapolis,18
2017,2,5,Washington,19
2017,2,5,LA Chargers,20
2017,2,5,NY Giants,21
2017,2,5,Tampa Bay,22
2017,2,5,Miami,23
2017,2,5,Houston,24
2017,2,5,Tennessee,25
2017,2,5,Detroit,26
2017,2,5,Jacksonville,27
2017,2,5,NY Jets,28
2017,2,5,Chicago,29
2017,2,5,LA Rams,30
2017,2,5,San Francisco,31
2017,2,5,Cleveland,32
2017,1,29,New England,1
2017,1,29,Atlanta,2
2017,1,29,Pittsburgh,3
2017,1,29,Dallas,4
2017,1,29,Kansas City,5
2017,1,29,Seattle,6
2017,1,29,Las Vegas,7
2017,1,29,Denver,8
2017,1,29,Green Bay,9
2017,1,29,Arizona,10
2017,1,29,Buffalo,11
2017,1,29,Baltimore,12
2017,1,29,Cincinnati,13
2017,1,29,Philadelphia,14
2017,1,29,New Orleans,15
2017,1,29,Washington,16
2017,1,29,Indianapolis,17
2017,1,29,Carolina,18
2017,1,29,NY Giants,19
2017,1,29,LA Chargers,20
2017,1,29,Minnesota,21
2017,1,29,Tampa Bay,22
2017,1,29,Miami,23
2017,1,29,Detroit,24
2017,1,29,Houston,25
2017,1,29,Tennessee,26
2017,1,29,Jacksonville,27
2017,1,29,Chicago,28
2017,1,29,LA Rams,29
2017,1,29,NY Jets,30
2017,1,29,San Francisco,31
2017,1,29,Cleveland,32
2017,1,22,New England,1
2017,1,22,Atlanta,2
2017,1,22,Pittsburgh,3
2017,1,22,Seattle,4
2017,1,22,Dallas,5
2017,1,22,Kansas City,6
2017,1,22,Denver,7
2017,1,22,Las Vegas,8
2017,1,22,Green Bay,9
2017,1,22,Buffalo,10
2017,1,22,Arizona,11
2017,1,22,Baltimore,12
2017,1,22,Cincinnati,13
2017,1,22,Carolina,14
2017,1,22,Philadelphia,15
2017,1,22,LA Chargers,16
2017,1,22,New Orleans,17
2017,1,22,Indianapolis,18
2017,1,22,Minnesota,19
2017,1,22,NY Giants,20
2017,1,22,Washington,21
2017,1,22,Tampa Bay,22
2017,1,22,Detroit,23
2017,1,22,Miami,24
2017,1,22,Tennessee,25
2017,1,22,Houston,26
2017,1,22,Chicago,27
2017,1,22,Jacksonville,28
2017,1,22,LA Rams,29
2017,1,22,NY Jets,30
2017,1,22,San Francisco,31
2017,1,22,Cleveland,32
2017,1,15,New England,1
2017,1,15,Atlanta,2
2017,1,15,Pittsburgh,3
2017,1,15,Dallas,4
2017,1,15,Kansas City,5
2017,1,15,Denver,6
2017,1,15,Seattle,7
2017,1,15,Las Vegas,8
2017,1,15,Green Bay,9
2017,1,15,Arizona,10
2017,1,15,Minnesota,11
2017,1,15,Buffalo,12
2017,1,15,Baltimore,13
2017,1,15,Cincinnati,14
2017,1,15,Philadelphia,15
2017,1,15,LA Chargers,16
2017,1,15,Washington,17
2017,1,15,Carolina,18
2017,1,15,New Orleans,19
2017,1,15,Detroit,20
2017,1,15,NY Giants,21
2017,1,15,Tampa Bay,22
2017,1,15,Indianapolis,23
2017,1,15,Houston,24
2017,1,15,Tennessee,25
2017,1,15,Miami,26
2017,1,15,Chicago,27
2017,1,15,NY Jets,28
2017,1,15,Jacksonville,29
2017,1,15,LA Rams,30
2017,1,15,San Francisco,31
2017,1,15,Cleveland,32
2017,1,8,New England,1
2017,1,8,Seattle,2
2017,1,8,Dallas,3
2017,1,8,Denver,4
2017,1,8,Pittsburgh,5
2017,1,8,Kansas City,6
2017,1,8,Atlanta,7
2017,1,8,Las Vegas,8
2017,1,8,Arizona,9
2017,1,8,Buffalo,10
2017,1,8,Minnesota,11
2017,1,8,Baltimore,12
2017,1,8,LA Chargers,13
2017,1,8,Cincinnati,14
2017,1,8,Philadelphia,15
2017,1,8,Green Bay,16
2017,1,8,New Orleans,17
2017,1,8,Detroit,18
2017,1,8,Washington,19
2017,1,8,Carolina,20
2017,1,8,NY Giants,21
2017,1,8,Tampa Bay,22
2017,1,8,Indianapolis,23
2017,1,8,Miami,24
2017,1,8,Tennessee,25
2017,1,8,Houston,26
2017,1,8,LA Rams,27
2017,1,8,Jacksonville,28
2017,1,8,NY Jets,29
2017,1,8,Chicago,30
2017,1,8,San Francisco,31
2017,1,8,Cleveland,32
2017,1,1,New England,1
2017,1,1,Seattle,2
2017,1,1,Kansas City,3
2017,1,1,Pittsburgh,4
2017,1,1,Denver,5
2017,1,1,Arizona,6
2017,1,1,Buffalo,7
2017,1,1,Dallas,8
2017,1,1,Atlanta,9
2017,1,1,Las Vegas,10
2017,1,1,Carolina,11
2017,1,1,Minnesota,12
2017,1,1,Green Bay,13
2017,1,1,LA Chargers,14
2017,1,1,Cincinnati,15
2017,1,1,New Orleans,16
2017,1,1,Philadelphia,17
2017,1,1,Baltimore,18
2017,1,1,Miami,19
2017,1,1,NY Giants,20
2017,1,1,Washington,21
2017,1,1,Detroit,22
2017,1,1,Tampa Bay,23
2017,1,1,Houston,24
2017,1,1,Indianapolis,25
2017,1,1,NY Jets,26
2017,1,1,Tennessee,27
2017,1,1,LA Rams,28
2017,1,1,Jacksonville,29
2017,1,1,Chicago,30
2017,1,1,San Francisco,31
2017,1,1,Cleveland,32
2016,12,25,New England,1
2016,12,25,Atlanta,2
2016,12,25,Pittsburgh,3
2016,12,25,Dallas,4
2016,12,25,Seattle,5
2016,12,25,Kansas City,6
2016,12,25,Denver,7
2016,12,25,Las Vegas,8
2016,12,25,Green Bay,9
2016,12,25,Arizona,10
2016,12,25,Buffalo,11
2016,12,25,Baltimore,12
2016,12,25,Cincinnati,13
2016,12,25,Philadelphia,14
2016,12,25,New Orleans,15
2016,12,25,Washington,16
2016,12,25,Indianapolis,17
2016,12,25,Carolina,18
2016,12,25,LA Chargers,19
2016,12,25,NY Giants,20
2016,12,25,Minnesota,21
2016,12,25,Tampa Bay,22
2016,12,25,Miami,23
2016,12,25,Detroit,24
2016,12,25,Houston,25
2016,12,25,Tennessee,26
2016,12,25,Jacksonville,27
2016,12,25,Chicago,28
2016,12,25,LA Rams,29
2016,12,25,NY Jets,30
2016,12,25,San Francisco,31
2016,12,25,Cleveland,32
2016,12,18,New England,1
2016,12,18,Atlanta,2
2016,12,18,Pittsburgh,3
2016,12,18,Seattle,4
2016,12,18,Dallas,5
2016,12,18,Kansas City,6
2016,12,18,Denver,7
2016,12,18,Las Vegas,8
2016,12,18,Green Bay,9
2016,12,18,Arizona,10
2016,12,18,Minnesota,11
2016,12,18,Buffalo,12
2016,12,18,Baltimore,13
2016,12,18,Cincinnati,14
2016,12,18,Philadelphia,15
2016,12,18,LA Chargers,16
2016,12,18,Washington,17
2016,12,18,Carolina,18
2016,12,18,New Orleans,19
2016,12,18,Detroit,20
2016,12,18,NY Giants,21
2016,12,18,Tampa Bay,22
2016,12,18,Miami,23
2016,12,18,Indianapolis,24
2016,12,18,Houston,25
2016,12,18,Tennessee,26
2016,12,18,Chicago,27
2016,12,18,Jacksonville,28
2016,12,18,LA Rams,29
2016,12,18,NY Jets,30
2016,12,18,San Francisco,31
2016,12,18,Cleveland,32
2016,12,11,New England,1
2016,12,11,Seattle,2
2016,12,11,Dallas,3
2016,12,11,Denver,4
2016,12,11,Kansas City,5
2016,12,11,Pittsburgh,6
2016,12,11,Atlanta,7
2016,12,11,Las Vegas,8
2016,12,11,Arizona,9
2016,12,11,Buffalo,10
2016,12,11,Minnesota,11
2016,12,11,Baltimore,12
2016,12,11,LA Chargers,13
2016,12,11,Cincinnati,14
2016,12,11,Philadelphia,15
2016,12,11,Green Bay,16
2016,12,11,New Orleans,17
2016,12,11,Detroit,18
2016,12,11,Washington,19
2016,12,11,Carolina,20
2016,12,11,NY Giants,21
2016,12,11,Tampa Bay,22
2016,12,11,Indianapolis,23
2016,12,11,Miami,24
2016,12,11,Tennessee,25
2016,12,11,Houston,26
2016,12,11,LA Rams,27
2016,12,11,NY Jets,28
2016,12,11,Jacksonville,29
2016,12,11,Chicago,30
2016,12,11,San Francisco,31
